review,stars
"Absolutely terrible, worst experience ever",1
"Very bad quality, not worth the money",1
"Below average, disappointed",2
"Not great but okay",2
"Decent product, nothing special",3
"It's fine, works as expected",3
"Good quality, satisfied",4
"Really nice, happy with the purchase",4
"Excellent! Exceeded my expectations",5
"Perfect, best I've ever used",5
"Poor customer service",1
"Waste of time",1
"Average performance",3
"Pretty good, would recommend",4
"Outstanding value",5
"Could be better, but fine",3
"Not worth the price",2
"Great features and fast delivery",4
"Superb, absolutely loved it",5
"Disappointing, will not buy again",1
"Average quality, not bad but not great",3
"It's just average, nothing special",3
"Not bad, just an average product",3
"Okayish quality, neither great nor bad",3
"The quality is average, so so",3
